Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641240141,0,0,0,0,0,58
1769641240142,0,0,0,0,0,59
1769641240144,0,0,0,0,0,57
1769641240145,0,0,0,0,0,58
1769641240146,0,0,0,0,0,59
1769641240148,0,0,0,0,0,59
1769641240149,0,0,0,0,0,59
1769641240151,0,0,0,0,0,61
1769641240152,0,0,0,0,0,61
1769641240153,0,0,0,0,0,59
1769641240155,0,0,0,0,0,61
1769641240156,0,0,0,0,0,61
1769641240158,0,0,0,0,0,61
1769641240159,0,0,0,0,0,60
1769641240161,0,0,0,0,0,61
1769641240162,0,0,0,0,0,61
1769641240163,0,0,0,0,0,60
1769641240165,0,0,0,0,0,61
1769641240166,0,0,0,0,0,60
1769641240168,0,0,0,0,0,61
1769641240169,0,0,0,0,0,59
1769641240170,0,0,0,0,0,59
1769641240172,0,0,0,0,0,60
1769641240173,0,0,0,0,0,59
1769641240175,0,0,0,0,0,59
1769641240176,0,0,0,0,0,60
1769641240178,0,0,0,0,0,59
1769641240179,0,0,0,0,0,59
1769641240180,0,0,0,0,0,57
1769641240182,0,0,0,0,0,59
1769641240183,0,0,0,0,0,57
1769641240185,0,0,0,0,0,57
1769641240186,0,0,0,0,0,56
1769641240187,0,0,0,0,0,57
1769641240189,0,0,0,0,0,56
1769641240190,0,0,0,0,0,55
1769641240192,0,0,0,0,0,54
1769641240193,0,0,0,0,0,55
1769641240195,0,0,0,0,0,55
1769641240196,0,0,0,0,0,54
1769641240197,0,0,0,0,0,55
1769641240199,0,0,0,0,0,54
1769641240200,0,0,0,0,0,53
1769641240202,0,0,0,0,0,51
1769641240203,0,0,0,0,0,51
1769641240205,0,0,0,0,0,51
1769641240206,0,0,0,0,0,51
1769641240207,0,0,0,0,0,52
1769641240209,0,0,0,0,0,51
1769641240210,0,0,0,0,0,51
1769641240212,0,0,0,0,0,47
1769641240213,0,0,0,0,0,47
1769641240214,0,0,0,0,0,47
1769641240216,0,0,0,0,0,47
1769641240217,0,0,0,0,0,48
1769641240219,0,0,0,0,0,47
1769641240220,0,0,0,0,0,47
1769641240222,0,0,0,0,0,47
1769641240223,0,0,0,0,0,48
1769641240224,0,0,0,0,0,46
1769641240226,0,0,0,0,0,46
1769641240227,0,0,0,0,0,46
1769641240229,0,0,0,0,0,47
1769641240230,0,0,0,0,0,46
