Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641183142,0,0,0,0,0,10
1769641183143,0,0,0,0,0,9
1769641183145,0,0,0,0,0,9
1769641183146,0,0,0,0,0,11
1769641183148,0,0,0,0,0,10
1769641183149,0,0,0,0,0,10
1769641183151,0,0,0,0,0,9
1769641183152,0,0,0,0,0,9
1769641183154,0,0,0,0,0,8
1769641183155,0,0,0,0,0,11
1769641183156,0,0,0,0,0,9
1769641183158,0,0,0,0,0,10
1769641183159,0,0,0,0,0,12
1769641183161,0,0,0,0,0,10
1769641183162,0,0,0,0,0,9
1769641183164,0,0,0,0,0,9
1769641183165,0,0,0,0,0,9
1769641183166,0,0,0,0,0,9
1769641183168,0,0,0,0,0,9
1769641183169,0,0,0,0,0,9
1769641183171,0,0,0,0,0,10
1769641183172,0,0,0,0,0,9
1769641183174,0,0,0,0,0,9
1769641183175,0,0,0,0,0,8
1769641183228,0,0,0,0,0,10
1769641183230,0,0,0,0,0,10
1769641183231,0,0,0,0,0,9
1769641183233,0,0,0,0,0,10
1769641183234,0,0,0,0,0,11
1769641183235,0,0,0,0,0,9
1769641183237,0,0,0,0,0,10
1769641183238,0,0,0,0,0,10
1769641183240,0,0,0,0,0,11
1769641183241,0,0,0,0,0,10
1769641183242,0,0,0,0,0,10
1769641183244,0,0,0,0,0,11
1769641183245,0,0,0,0,0,9
1769641183247,0,0,0,0,0,11
1769641183248,0,0,0,0,0,10
1769641183250,0,0,0,0,0,10
1769641183251,0,0,0,0,0,11
1769641183252,0,0,0,0,0,10
1769641183254,0,0,0,0,0,10
1769641183255,0,0,0,0,0,10
1769641183257,0,0,0,0,0,10
1769641183258,0,0,0,0,0,11
1769641183260,0,0,0,0,0,11
1769641183261,0,0,0,0,0,10
1769641183262,0,0,0,0,0,10
1769641183264,0,0,0,0,0,10
1769641183265,0,0,0,0,0,10
1769641183267,0,0,0,0,0,11
1769641183268,0,0,0,0,0,10
1769641183269,0,0,0,0,0,11
1769641183271,0,0,0,0,0,11
1769641183272,0,0,0,0,0,12
1769641183274,0,0,0,0,0,10
1769641183275,0,0,0,0,0,11
1769641183277,0,0,0,0,0,10
1769641183278,0,0,0,0,0,10
1769641183279,0,0,0,0,0,10
1769641183281,0,0,0,0,0,10
1769641183282,0,0,0,0,0,10
1769641183284,0,0,0,0,0,10
1769641183285,0,0,0,0,0,10
1769641183287,0,0,0,0,0,11
1769641183288,0,0,0,0,0,10
1769641183289,0,0,0,0,0,10
1769641183291,0,0,0,0,0,11
1769641183292,0,0,0,0,0,10
1769641183294,0,0,0,0,0,11
1769641183295,0,0,0,0,0,10
1769641183296,0,0,0,0,0,11
1769641183298,0,0,0,0,0,10
1769641183299,0,0,0,0,0,11
