sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
146,2026-04-02T19:28:14Z,1775158093087,0,0,0,0,0,0,1775158093493,0,0,0,0,0,0
147,2026-04-02T19:28:14Z,1775158093091,0,0,0,0,0,0,1775158093496,0,0,0,0,0,0
148,2026-04-02T19:28:14Z,1775158093091,0,0,0,0,0,0,1775158093499,0,0,0,0,0,0
149,2026-04-02T19:28:14Z,1775158093093,0,0,0,0,0,0,1775158093499,0,0,0,0,0,0
150,2026-04-02T19:28:14Z,1775158093097,0,0,0,0,0,0,1775158093502,0,0,0,0,0,0
151,2026-04-02T19:28:14Z,1775158093097,0,0,0,0,0,0,1775158093505,0,0,0,0,0,0
152,2026-04-02T19:28:14Z,1775158093100,0,0,0,0,0,0,1775158093505,0,0,0,0,0,0
153,2026-04-02T19:28:14Z,1775158093102,0,0,0,0,0,0,1775158093508,0,0,0,0,0,0
154,2026-04-02T19:28:14Z,1775158093102,0,0,0,0,0,0,1775158093511,0,0,0,0,0,0
155,2026-04-02T19:28:14Z,1775158093106,0,0,0,0,0,0,1775158093511,0,0,0,0,0,0
156,2026-04-02T19:28:14Z,1775158093109,0,0,0,0,0,0,1775158093514,0,0,0,0,0,0
157,2026-04-02T19:28:14Z,1775158093109,0,0,0,0,0,0,1775158093517,0,0,0,0,0,0
158,2026-04-02T19:28:14Z,1775158093111,0,0,0,0,0,0,1775158093517,0,0,0,0,0,0
159,2026-04-02T19:28:14Z,1775158093111,0,0,0,0,0,0,1775158093520,0,0,0,0,0,0
160,2026-04-02T19:28:14Z,1775158093114,0,0,0,0,0,0,1775158093520,0,0,0,0,0,0
161,2026-04-02T19:28:14Z,1775158093117,0,0,0,0,0,0,1775158093523,0,0,0,0,0,0
162,2026-04-02T19:28:14Z,1775158093120,0,0,0,0,0,0,1775158093526,0,0,0,0,0,0
163,2026-04-02T19:28:14Z,1775158093120,0,0,0,0,0,0,1775158093529,0,0,0,0,0,0
164,2026-04-02T19:28:14Z,1775158093123,0,0,0,0,0,0,1775158093529,0,0,0,0,0,0
165,2026-04-02T19:28:14Z,1775158093126,0,0,0,0,0,0,1775158093532,0,0,0,0,0,0
166,2026-04-02T19:28:14Z,1775158093126,0,0,0,0,0,0,1775158093535,0,0,0,0,0,0
167,2026-04-02T19:28:14Z,1775158093129,0,0,0,0,0,0,1775158093535,0,0,0,0,0,0
168,2026-04-02T19:28:14Z,1775158093132,0,0,0,0,0,0,1775158093538,0,0,0,0,0,0
169,2026-04-02T19:28:14Z,1775158093132,0,0,0,0,0,0,1775158093541,0,0,0,0,0,0
170,2026-04-02T19:28:14Z,1775158093135,0,0,0,0,0,0,1775158093541,0,0,0,0,0,0
